SIG_CD	SIG_ENG_NM	SIG_KOR_NM
43113	"Heungdeok-gu, Cheongju-si"	청주시 흥덕구
42110	Chuncheon-si	춘천시
43130	Chungju-si	충주시
47850	Chilgok-gun	칠곡군
42190	Taebaek-si	태백시
44825	Taean-gun	태안군
48220	Tongyeong-si	통영시
41480	Paju-si	파주시
42760	Pyeongchang-gun	평창군
41220	Pyeongtaek-si	평택시
41650	Pocheon-si	포천시
47111	"Nam-gu, Pohang-si"	포항시 남구
47113	"Buk-gu, Pohang-si"	포항시 북구
41450	Hanam-si	하남시
48850	Hadong-gun	하동군
48730	Haman-gun	함안군
48870	Hamyang-gun	함양군
46860	Hampyeong-gun	함평군
48890	Hapcheon-gun	합천군
46820	Haenam-gun	해남군
26350	Haeundae-gu	해운대구
44800	Hongseong-gun	홍성군
42720	Hongcheon-gun	홍천군
41590	Hwaseong-si	화성시
46790	Hwasun-gun	화순군
42790	Hwacheon-gun	화천군
42730	Hoengseong-gun	횡성군
